technology_selection_approach,basket_name,technology,number_poi,fiber_length,pp_coo,pp_coo_per_poi,pp_capex,init_capex,an_opex,init_capex_per_poi,an_opex_per_poi,estimate,max_dist_km
ranking,technology_1km,fiber,19,11.779834,289025.0784,15211.846231578947,141662.5392,113162.5392,14736.253920000001,5955.923115789474,775.5923115789474,central,1
ranking,technology_1km,p2mp,6,,2400.0,400.0,1920.0,480.0,48.0,80.0,8.0,central,1
ranking,technology_1km,p2p,65,,1394122.184,21448.0336,584660.05,411553.35,80946.2134,6331.589999999999,1245.3263599999998,central,1
ranking,technology_1km,satellite,10,,102000.0,10200.0,90000.0,30000.0,1200.0,3000.0,120.0,central,1
ranking,technology_2km,fiber,71,74.26306399999999,1612329.9263999998,22708.8722028169,795514.9631999999,689014.9631999999,81681.49631999999,9704.43610140845,1150.4436101408448,central,2
ranking,technology_2km,p2mp,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,central,2
ranking,technology_2km,p2p,23,,493304.77280000004,21448.033600000002,206879.71000000002,145626.57,28642.50628,6331.59,1245.32636,central,2
ranking,technology_2km,satellite,6,,61200.0,10200.0,54000.0,18000.0,720.0,3000.0,120.0,central,2
ranking,technology_3km,fiber,96,122.087602,2561541.7952,26682.727033333333,1266370.8976,1122370.8976,129517.08976,11691.363516666666,1349.1363516666668,central,3
ranking,technology_3km,p2mp,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,central,3
ranking,technology_3km,p2p,3,,64344.1008,21448.0336,26984.31,18994.77,3735.97908,6331.59,1245.32636,central,3
ranking,technology_3km,satellite,1,,10200.0,10200.0,9000.0,3000.0,120.0,3000.0,120.0,central,3
ranking,technology_4km,fiber,100,131.087385,2737137.9760000007,27371.379760000007,1353568.9880000001,1203568.9880000001,138356.89880000002,12035.689880000002,1383.5689880000002,central,4
ranking,technology_4km,p2mp,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,central,4
ranking,technology_4km,p2p,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,central,4
ranking,technology_4km,satellite,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,central,4
ranking,technology_5km,fiber,100,131.087385,2737137.9760000007,27371.379760000007,1353568.9880000001,1203568.9880000001,138356.89880000002,12035.689880000002,1383.5689880000002,central,5
ranking,technology_5km,p2mp,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,central,5
ranking,technology_5km,p2p,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,central,5
ranking,technology_5km,satellite,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,central,5
ranking,technology_6km,fiber,100,131.087385,2737137.9760000007,27371.379760000007,1353568.9880000001,1203568.9880000001,138356.89880000002,12035.689880000002,1383.5689880000002,central,6
ranking,technology_6km,p2mp,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,central,6
ranking,technology_6km,p2p,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,central,6
ranking,technology_6km,satellite,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,central,6
ranking,technology_7km,fiber,100,131.087385,2737137.9760000007,27371.379760000007,1353568.9880000001,1203568.9880000001,138356.89880000002,12035.689880000002,1383.5689880000002,central,7
ranking,technology_7km,p2mp,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,central,7
ranking,technology_7km,p2p,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,central,7
ranking,technology_7km,satellite,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,central,7
ranking,technology_8km,fiber,100,131.087385,2737137.9760000007,27371.379760000007,1353568.9880000001,1203568.9880000001,138356.89880000002,12035.689880000002,1383.5689880000002,central,8
ranking,technology_8km,p2mp,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,central,8
ranking,technology_8km,p2p,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,central,8
ranking,technology_8km,satellite,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,central,8
ranking,technology_9km,fiber,100,131.087385,2737137.9760000007,27371.379760000007,1353568.9880000001,1203568.9880000001,138356.89880000002,12035.689880000002,1383.5689880000002,central,9
ranking,technology_9km,p2mp,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,central,9
ranking,technology_9km,p2p,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,central,9
ranking,technology_9km,satellite,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,central,9
ranking,technology_10km,fiber,100,131.087385,2737137.9760000007,27371.379760000007,1353568.9880000001,1203568.9880000001,138356.89880000002,12035.689880000002,1383.5689880000002,central,10
ranking,technology_10km,p2mp,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,central,10
ranking,technology_10km,p2p,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,central,10
ranking,technology_10km,satellite,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,central,10
ranking,technology_11km,fiber,100,131.087385,2737137.9760000007,27371.379760000007,1353568.9880000001,1203568.9880000001,138356.89880000002,12035.689880000002,1383.5689880000002,central,11
ranking,technology_11km,p2mp,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,central,11
ranking,technology_11km,p2p,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,central,11
