length,geometry
582.547003897221,"LINESTRING (1.58176983 39.01980367, 1.57884222 39.01508425)"
1251.848695051087,"LINESTRING (1.57884222 39.01508425, 1.564889899 39.01812244)"
1180.1868786021873,"LINESTRING (1.564889899 39.01812244, 1.561872175 39.00777101)"
2765.2747376424313,"LINESTRING (1.517970918 39.11067597, 1.4950373317231889 39.09330591477868)"
1030.1878683119642,"LINESTRING (1.4950373317231889 39.09330591477868, 1.486454693 39.086867)"
1761.41299613765,"LINESTRING (1.450226287 38.96340292, 1.444245643 38.9785459)"
1155.883270635387,"LINESTRING (1.450226287 38.96340292, 1.448931843 38.95305666)"
1703.2322336573309,"LINESTRING (1.444245643 38.9785459, 1.443218896 38.99384263)"
1339.6538982171596,"LINESTRING (1.533819114 38.99388465, 1.525952107 39.00426587)"
889.2808689266536,"LINESTRING (1.533819114 38.99388465, 1.540723947 38.98795524)"
1748.4676667318201,"LINESTRING (1.473349019 38.95031751, 1.486096642 38.93811274)"
1849.2719618247693,"LINESTRING (1.486096642 38.93811274, 1.4683498617511264 38.92883833955096)"
401.77268454352185,"LINESTRING (1.486096642 38.93811274, 1.489272793 38.9354761)"
2057.2484136121807,"LINESTRING (1.485837838 38.98630403, 1.478474294706223 38.96871059460573)"
1055.7681426341264,"LINESTRING (1.490407817 39.02439169, 1.4839410995707265 39.032448618755886)"
660.7057501249813,"LINESTRING (1.4839410995707265 39.032448618755886, 1.482114837 39.03821867)"
2009.4492993230497,"LINESTRING (1.515630846 38.97524865, 1.509104011 38.95790439)"
154.74505948204308,"LINESTRING (1.509104011 38.95790439, 1.507408008 38.9574601)"
876.2094817018873,"LINESTRING (1.540723947 38.98795524, 1.548169891 38.99330314)"
1997.5258261178083,"LINESTRING (1.561872175 39.00777101, 1.548169891 38.99330314)"
1879.10056711825,"LINESTRING (1.558964273 39.06236908, 1.5668066722645115 39.04660540307098)"
277.5628547697548,"LINESTRING (1.5668066722645115 39.04660540307098, 1.566748446 39.04410963)"
1322.450872466561,"LINESTRING (1.5668066722645115 39.04660540307098, 1.581172796 39.05072478)"
743.332855092533,"LINESTRING (1.454736686 39.0051067, 1.4462440324726724 39.00617212287886)"
1395.6777981863274,"LINESTRING (1.4462440324726724 39.00617212287886, 1.443218896 38.99384263)"
1680.73772916502,"LINESTRING (1.425056641 38.98843938, 1.443218896 38.99384263)"
1577.4838375116587,"LINESTRING (1.425056641 38.98843938, 1.408712151 38.98212655)"
1715.148994109143,"LINESTRING (1.425056641 38.98843938, 1.418651684 39.00303877)"
190.14119520424188,"LINESTRING (1.407620621 38.97752283, 1.408158651 38.97918087)"
1201.0241088324506,"LINESTRING (1.407620621 38.97752283, 1.418358779 38.97066928)"
331.020425982999,"LINESTRING (1.408158651 38.97918087, 1.408712151 38.98212655)"
1474.2250286811031,"LINESTRING (1.413143902 39.07637005, 1.4183225187348312 39.0637363507722)"
1861.3676980195926,"LINESTRING (1.4183225187348312 39.0637363507722, 1.439501167 39.06687031)"
606.3818074710113,"LINESTRING (1.507408008 38.9574601, 1.5010741177265794 38.95511933204308)"
478.98075587408005,"LINESTRING (1.509642134 39.04222339, 1.5058358585439464 39.03909044734799)"
2336.1281838107598,"LINESTRING (1.482114837 39.03821867, 1.460825577 39.05118032)"
932.4955501143572,"LINESTRING (1.540372474 39.08134747, 1.5374548052965848 39.07327299591535)"
2070.390803183067,"LINESTRING (1.540372474 39.08134747, 1.559896146 39.09216585)"
2353.907732838373,"LINESTRING (1.427518529 38.9399882, 1.448931843 38.95305666)"
508.3124847251984,"LINESTRING (1.540936116 39.01717741, 1.5350756061860966 39.01758281012609)"
441.6017228964201,"LINESTRING (1.432341493 38.91804214, 1.4362657306935869 38.91550253429326)"
862.0345029508778,"LINESTRING (1.4362657306935869 38.91550253429326, 1.443926473 38.92045977)"
1123.6998477483776,"LINESTRING (1.455433486 39.02280274, 1.4490243174006947 39.01400907040795)"
3574.2026064253264,"LINESTRING (1.308331692 38.86416215, 1.3053223157733602 38.89622024333886)"
621.5365774224125,"LINESTRING (1.3053223157733602 38.89622024333886, 1.30925045 38.90089976)"
815.7967627252814,"LINESTRING (1.295383013 38.90931426, 1.301800572 38.90393963)"
1117.439329770089,"LINESTRING (1.295383013 38.90931426, 1.288493327 38.90081458)"
727.9081394929927,"LINESTRING (1.301800572 38.90393963, 1.30925045 38.90089976)"
907.5376668340939,"LINESTRING (1.246525267 38.96195614, 1.238187992 38.96691495)"
277.3295370242048,"LINESTRING (1.246525267 38.96195614, 1.24701343 38.95949111)"
383.5402127775258,"LINESTRING (1.238187992 38.96691495, 1.2383124291257583 38.97036285287722)"
964.5926832015141,"LINESTRING (1.366680989 38.90620842, 1.361241211 38.8986367)"
2354.5112753027083,"LINESTRING (1.366680989 38.90620842, 1.374346836 38.92652564)"
726.6527011021527,"LINESTRING (1.361241211 38.8986367, 1.354087839 38.89521462)"
1644.9289516667384,"LINESTRING (1.327597846 38.89703316, 1.30925045 38.90089976)"
2301.382401739641,"LINESTRING (1.327597846 38.89703316, 1.354087839 38.89521462)"
2148.23177022083,"LINESTRING (1.382562293 38.94475765, 1.374346836 38.92652564)"
994.0856657182884,"LINESTRING (1.382562293 38.94475765, 1.386549067 38.9531428)"
1197.2401675298017,"LINESTRING (1.378797427 38.88051984, 1.385841056 38.88978634)"
2831.4984236663745,"LINESTRING (1.378797427 38.88051984, 1.371649766 38.85567112)"
2087.1194909935957,"LINESTRING (1.385841056 38.88978634, 1.409553323 38.89320415)"
2304.758994558184,"LINESTRING (1.370773233 38.83495517, 1.371649766 38.85567112)"
2368.4388297940436,"LINESTRING (1.371649766 38.85567112, 1.398807221 38.85313758)"
965.4942479220232,"LINESTRING (1.245338784 38.91547977, 1.2557625683802798 38.91237974944803)"
1448.4599074662242,"LINESTRING (1.359549418 38.97096944, 1.369830696 38.98125539)"
740.3611966817444,"LINESTRING (1.359549418 38.97096944, 1.359063479 38.96432194)"
1427.3959135436085,"LINESTRING (1.369830696 38.98125539, 1.353788387 38.98430143)"
946.9383770295511,"LINESTRING (1.391227572 38.9608426, 1.386549067 38.9531428)"
526.3179918446407,"LINESTRING (1.307153307 38.93416638, 1.3132369454210202 38.93426481866821)"
1863.5786047651045,"LINESTRING (1.307153307 38.93416638, 1.286008074 38.9309528)"
1034.901318042447,"LINESTRING (1.3132369454210202 38.93426481866821, 1.3146801 38.94350397)"
1974.5371149291695,"LINESTRING (1.336193129 38.92541254, 1.330989881 38.94270256)"
827.3511121666816,"LINESTRING (1.330989881 38.94270256, 1.331319864 38.95013868)"
1413.3494160989717,"LINESTRING (1.330989881 38.94270256, 1.3146801 38.94350397)"
1011.4239904759174,"LINESTRING (1.323312356 38.95676889, 1.331319864 38.95013868)"
725.7496611181483,"LINESTRING (1.323312356 38.95676889, 1.315454383 38.95906283)"
2409.9175332427612,"LINESTRING (1.230029032 38.89004912, 1.2547497106257115 38.88007757269891)"
1303.2948770447367,"LINESTRING (1.2547497106257115 38.88007757269891, 1.259268392 38.86889715)"
2005.803327577374,"LINESTRING (1.24701343 38.95949111, 1.238764234 38.9426318)"
305.50703164196244,"LINESTRING (1.323798873 38.96675571, 1.320599286 38.96558957)"
851.219384706588,"LINESTRING (1.320599286 38.96558957, 1.315454383 38.95906283)"
964.7585114075338,"LINESTRING (1.238764234 38.9426318, 1.239488959 38.93397385)"
417.2937342439199,"LINESTRING (1.288493327 38.90081458, 1.288587958 38.89706249)"
1630.9011409421878,"LINESTRING (1.305319773 38.98952019, 1.321503371 38.99706412)"
1615.8958831228706,"LINESTRING (1.321503371 38.99706412, 1.310230843 39.0086591)"
1295.6504080527009,"LINESTRING (1.259268392 38.86889715, 1.247868859 38.86134812)"
1420.6815985575884,"LINESTRING (1.34637954 39.06210527, 1.337051623 39.05158039)"
473.5458020586221,"LINESTRING (1.34637954 39.06210527, 1.350554245 39.05934325)"
3531.3556406694715,"LINESTRING (1.337051623 39.05158039, 1.3101884539227653 39.02763792620362)"
888.2305391167513,"LINESTRING (1.2855323 38.97033793, 1.289999275672372 38.96314443685725)"
1017.9622938217411,"LINESTRING (1.289999275672372 38.96314443685725, 1.29261 38.95421761)"
279.116625239003,"LINESTRING (1.276045852 38.90932032, 1.2754202 38.90685783)"
1287.5341985039556,"LINESTRING (1.2754202 38.90685783, 1.262128614 38.90165325)"
315.7747774023654,"LINESTRING (1.247868859 38.86134812, 1.244596552 38.86260202)"
982.1067920148123,"LINESTRING (1.353788387 38.98430143, 1.353724734 38.99313359)"
2110.352364937562,"LINESTRING (1.3101884539227653 39.02763792620362, 1.310230843 39.0086591)"
