poi_id,lat,lon,cell_site_dist,4G_cell_site_dist,5G_cell_site_dist,transmission_node_dist,fiber_node_dist,population_1km,poi_count_1km,population_3km,poi_count_3km,population_5km,poi_count_5km,4G_coverage
23dd6a45-3656-435b-b3b1-c16efab9daeb,39.00777101,1.561872175,1158,1158,,2559,2559,378,1,6633,8,15014,10,1.0
e13a657c-edf0-4013-92db-6c70136e3ac9,38.90685783,1.2754202,2817,2817,,1808,1808,64,2,1612,9,5136,15,0.0
de75c87b-2676-47be-8454-4c44c4e6f644,38.99313359,1.353724734,646,646,,3183,3183,132,2,2476,5,16579,15,0.0
4267fc81-0e9f-40ca-84c8-84529958dc22,39.00426587,1.525952107,1066,1369,,1678,1678,234,1,10768,5,16724,12,1.0
ae0ccc6e-5f91-4a58-a60b-68e8ebcdc797,38.95676889,1.323312356,462,462,,1615,1615,739,2,11337,9,24697,19,0.0
eadb65ff-99dc-4bd3-bb21-619a55a73b34,38.9399882,1.427518529,836,2361,,2826,2826,1557,1,34352,4,73899,15,0.0
8d7cbf69-616c-435f-a1bf-b46db1f2b1a2,38.86260202,1.244596552,1160,2954,,2133,2133,37,2,289,3,1213,5,0.0
35e45aa4-2e7b-47e3-8157-7f6caa51b3f2,38.83495517,1.370773233,1813,1813,,9347,9347,17,1,248,2,3492,3,0.0
e568a45b-e0bc-49cd-82c0-a64c1da4fb0e,38.97066928,1.418358779,1198,1643,,4625,4625,239,1,5523,8,15863,16,0.0
249cd328-89bc-4d29-a98f-1c733aae4201,38.98430143,1.353788387,512,1519,,2657,2657,227,2,3730,5,19039,18,0.0
feaecc5f-7357-48b4-9cc8-a845d67ecb4c,38.96432194,1.359063479,1352,1352,,1632,1632,356,2,3585,8,14959,21,0.0
fa2f7383-f6dd-4b0e-9db6-269f8f5d4a17,38.9608426,1.391227572,538,760,,5439,5439,791,2,4688,10,14736,16,0.0
c961624c-546e-4375-8360-6d75bc188022,39.06210527,1.34637954,355,355,,4592,4592,4,2,125,3,393,3,0.0
1914138c-459b-4d5d-8aff-23f1aca8965c,38.95305666,1.448931843,412,412,,3174,3174,1087,1,8673,5,50319,16,0.0
ef6eb534-04e9-4265-bc5b-1543f3452634,38.88051984,1.378797427,1213,1213,,4494,4494,2313,1,12270,5,31429,9,0.0
304e1e26-439a-45fb-8837-9a38fdc6ec41,38.92045977,1.443926473,1802,1915,,862,862,11435,1,56227,3,75937,9,0.0
07514ee2-1dd3-4e93-a5fb-8a1a70b64edd,39.04410963,1.566748446,2063,3312,,278,278,205,1,1235,5,3652,10,0.0
955bca73-4483-45af-ae38-adddd0751bf7,38.9785459,1.444245643,551,551,,3077,3077,322,1,4007,6,12340,15,0.0
5529ea39-d40f-4c80-a308-07fe2fb85cfa,38.90620842,1.366680989,1160,3248,,3700,3700,216,2,6961,5,35609,10,0.0
7a4e4050-b3db-43ab-b487-a7df597ea8ce,38.9531428,1.386549067,254,254,,4766,4766,326,3,4946,4,18943,15,0.0
386b10fd-d902-4f9a-aa89-70120f982487,38.95031751,1.473349019,585,585,,2093,2093,423,1,6712,5,30205,12,0.0
1332292e-3d0f-4aa3-bf72-1a22752dea15,39.05934325,1.350554245,128,128,,4229,4229,6,2,162,3,442,3,0.0
79f29263-c10b-4508-bd87-ad42c04be0d4,38.98630403,1.485837838,3741,3741,,2057,2057,217,1,2215,2,16726,15,0.0
a877cb39-2290-48c3-b6a6-0f4feaf0146a,38.99388465,1.533819114,1254,1649,,2637,2637,4247,2,12356,7,17225,12,1.0
1f8a8a01-714b-40f2-b55d-fbcb916dd75f,38.89703316,1.327597846,2333,2333,,1930,1930,131,1,1652,5,8179,15,0.0
2b2ca058-e2b5-4ce2-a075-c3075f9027ef,39.07637005,1.413143902,689,689,,1474,1474,78,1,1014,2,2224,3,0.0
40a28229-3dbf-4f08-a516-3f46680a2e55,38.86416215,1.308331692,875,875,,3574,3574,120,1,899,1,2855,7,0.0
2f4c020c-6569-4220-9152-d47361213edb,39.02439169,1.490407817,744,744,,1056,1056,190,1,1279,3,3863,9,0.0
dd214ea7-eb13-4400-907b-b4f9c320b1ae,38.95421761,1.29261,484,1370,,1018,1018,797,1,12713,8,24944,18,0.0
34cb2c0a-8709-4603-afe6-76f630165788,38.89706249,1.288587958,3321,3321,,1451,1451,129,2,1856,8,3816,14,0.0
2e783986-86c8-40c6-905c-837d9112f4f7,38.97096944,1.359549418,814,814,,1895,1895,408,2,3679,6,15593,19,0.0
c571aaff-74e9-41d4-8e51-e0aab8fffe1f,38.95906283,1.315454383,535,535,,2764,2764,1602,3,15325,10,25144,17,0.0
e8fc47f3-4cc1-4e0e-8483-095a08f064e0,38.96675571,1.323798873,1395,1395,,1491,1491,2237,2,16359,8,24498,19,0.0
b32e5cdd-cc23-4748-9c61-c62201237bf6,38.90931426,1.295383013,1893,1893,,1691,1691,230,2,1783,9,4453,16,0.0
7e7edbb0-41db-4dda-b507-37cb0493d1fa,39.05072478,1.581172796,1523,3322,,1322,1322,113,1,1103,3,2582,8,0.0
9be3e912-c023-4888-847f-f74ab5085a94,38.85313758,1.398807221,1319,1319,,6792,6792,156,1,1607,2,11581,6,0.0
c30b6800-1281-4cee-8dd9-ba3e5c5802fd,39.01812244,1.564889899,985,985,,3171,3171,219,1,3973,6,12557,12,0.0
1fa23b03-6f38-49e7-98de-c0d5a352d05a,39.086867,1.486454693,270,270,,1030,1030,53,1,791,1,3158,5,0.0
6e4190d2-b21e-4c48-8cde-59bb39329f62,39.06236908,1.558964273,1713,1713,,1879,1879,23,1,632,4,2405,7,1.0
03116452-1288-434e-83d5-fed21199c4a8,39.04222339,1.509642134,658,658,,479,479,86,1,1012,3,3003,8,0.0
4c67727a-4af9-46ef-a98d-5ce5f843163d,38.93397385,1.239488959,1674,1674,,2783,2783,649,2,2511,4,5836,11,0.0
08d556b6-931d-4029-a82c-e651113c6d63,39.01980367,1.58176983,2547,2452,,3248,3248,316,2,2971,5,6828,8,0.0
1472ba6a-9a43-4921-a751-efedc0e5fcf4,38.92541254,1.336193129,505,2326,,2216,2216,46,1,1059,5,7380,22,0.0
292f0d20-f275-44f5-a40f-cf0e80c3a067,38.97752283,1.407620621,1084,2126,,4614,4614,292,3,3916,7,11592,19,0.0
d3a1fe88-51a0-4558-a376-5c614106e50b,38.96691495,1.238187992,840,840,,384,384,227,2,2020,4,6902,7,0.0
80995085-677e-40c5-a7eb-3e6be9c04193,38.86889715,1.259268392,336,2576,,1303,1303,100,1,661,3,1718,10,0.0
f4757abf-5db7-4f0e-a7cc-0c437012a72e,38.95949111,1.24701343,1830,1830,,1424,1424,248,2,3484,5,9916,9,0.0
b4129fb7-6eff-4f64-9302-d56ca0ffd434,38.85567112,1.371649766,639,639,,7198,7198,97,1,4099,4,10092,7,0.0
019d2f45-228e-4943-b302-1af7cb2ae820,38.9426318,1.238764234,1982,2638,,3084,3084,812,2,2507,5,6610,10,0.0
5b9fbca7-20b7-4b7a-8555-1be8137a8e12,39.03821867,1.482114837,1286,1286,,661,661,133,1,1112,5,3422,7,0.0
d4e50261-9303-4b9b-8f52-ed9d7903dd58,38.94350397,1.3146801,463,463,,1035,1035,177,1,5409,11,21817,17,0.0
8dc18b71-d2aa-4396-aed1-3918a7c78302,39.08134747,1.540372474,1463,1463,,932,932,25,1,625,3,2632,7,0.0
f1258afa-9fe6-46f8-89a4-75826b810986,38.89320415,1.409553323,1874,1874,,2289,2289,5757,1,39917,2,73203,10,0.0
8c0900aa-9916-48a2-81a7-783bb859d57c,38.90932032,1.276045852,2576,2576,,1788,1788,68,2,1621,9,5366,16,0.0
04da0ba1-3b87-4a8e-bb66-72ac9a19f1cd,38.88978634,1.385841056,924,924,,3301,3301,2053,1,19980,6,51879,9,0.0
316677be-d43e-4119-ac88-7b54e561fb17,39.0051067,1.454736686,569,569,,743,743,108,1,2639,3,5872,13,0.0
d37197f2-d992-4674-a45f-4edfec32eb68,38.94475765,1.382562293,1217,1217,,4103,4103,156,2,4702,5,28477,16,0.0
cda6e0d7-8641-4943-94e7-997c3a504b43,38.94270256,1.330989881,989,989,,1799,1799,116,2,2904,9,17567,19,0.0
8955c08a-d3a8-4dd0-872a-09489285a97a,38.95790439,1.509104011,1381,2649,,760,760,787,2,5446,4,16630,9,0.0
1e1ce347-2c9a-42a9-8cad-29811f0a9f8e,38.8986367,1.361241211,1840,2436,,4408,4408,310,3,7413,6,26843,11,0.0
cf36cf3c-dc91-4d53-8f30-5a9a5c4e7200,39.09216585,1.559896146,1719,1719,,2857,2857,13,1,309,2,2208,5,0.0
9c0cf673-558f-47f4-b008-68872ebfd0a1,38.97524865,1.515630846,1026,4219,,2568,2568,1311,1,12041,6,16768,11,0.0
f9394e7c-c097-4bd1-98c1-c36ab13dde8e,38.98125539,1.369830696,785,785,,3274,3274,142,1,2506,6,9819,19,0.0
18f3f320-cd31-4249-829c-71d90dc9a918,38.9354761,1.489272793,2145,2145,,1955,1955,809,2,5105,4,24890,9,0.0
c397425a-2403-401c-a663-74d40571c94a,38.99706412,1.321503371,1183,1183,,3537,3537,500,1,12227,4,21912,13,0.0
77e031da-1d23-48c2-853e-25d1830dabd1,39.02280274,1.455433486,2471,2471,,1124,1124,84,1,1102,3,5384,9,0.0
4bb7174d-f3a5-485b-bd5d-423a370c713d,38.99330314,1.548169891,628,936,,2927,2927,2803,2,12836,6,16420,10,1.0
0b373675-de87-476b-9262-a0f7d9fe97c7,38.98843938,1.425056641,934,1742,,2691,2691,827,1,3427,8,8989,14,0.0
775b863e-688e-45e8-b12e-956a3144bd35,38.98212655,1.408712151,902,2355,,4204,4204,247,3,3921,7,10428,20,0.0
e34166df-938f-4a6a-8297-8e62472c190a,38.92652564,1.374346836,2303,3098,,3263,3263,99,1,2949,3,45226,14,0.0
a11c1795-c1ad-4000-8ddf-23879414c25d,38.90165325,1.262128614,2040,2040,,1314,1314,49,1,1148,6,4734,16,0.0
20de2790-fc66-422b-a12f-6a5f65c00470,38.91804214,1.432341493,1652,1997,,442,442,22236,1,63160,3,78439,5,0.0
ef55a242-71c2-4895-9d7f-7cc87011cc24,38.89521462,1.354087839,1669,1669,,4222,4222,399,2,5752,6,19276,12,0.0
8212c26b-ccf0-4c70-8c8b-0bd759f2cbff,38.90089976,1.30925045,3042,3042,,622,622,98,2,1919,6,4572,16,0.0
005e4a38-ee50-41b2-a7ba-fd8fd86c5179,38.9309528,1.286008074,1026,1026,,2384,2384,269,1,2299,7,12692,24,0.0
ba2f6994-38f1-4619-a7ee-4c6569749c21,38.99384263,1.443218896,896,1034,,1396,1396,554,1,3217,5,7059,13,0.0
19e7719f-cf3d-456a-9aac-b00ec55013e1,39.06687031,1.439501167,1859,1859,,1861,1861,316,1,2020,3,2723,5,0.0
bbd7b668-8b8e-4b87-ac89-64a54c379f53,38.9574601,1.507408008,1510,2495,,606,606,706,2,5266,5,16757,9,0.0
f1de709c-0da1-4ea3-b1d7-7cb3336246b3,38.96558957,1.320599286,1202,1202,,1730,1730,2424,3,17076,9,24752,20,0.0
760b035f-e361-4d37-a95f-5b6f7ac93bbf,39.05118032,1.460825577,389,389,,2885,2885,86,1,1649,3,3577,8,0.0
9dc15aa9-7e95-4b6f-ac9e-1b891c458ea5,38.86134812,1.247868859,1052,3104,,2166,2166,38,2,298,3,1229,5,0.0
be8f9691-55af-4940-97d8-10d548687c18,39.01717741,1.540936116,176,176,,508,508,131,1,3591,6,15713,12,1.0
5a88dfd9-2448-4643-8446-ec81f79f236e,38.96340292,1.450226287,930,930,,2513,2513,702,1,4712,5,27480,16,0.0
867858ee-0194-44a4-9131-e0521a37c6e6,38.90081458,1.288493327,2915,2915,,1543,1543,95,2,1981,8,4002,15,0.0
74529871-b1ea-4c57-8874-709bf7554e64,38.93811274,1.486096642,1769,1769,,1849,1849,799,2,5757,5,27525,9,0.0
7e46c9a8-b75f-4513-8418-4fb058a32b0f,39.05158039,1.337051623,1410,1410,,3749,3749,15,1,212,3,490,3,0.0
033ae344-5dde-4ee7-8abd-9c83729197bf,38.91547977,1.245338784,610,610,,965,965,92,1,2085,5,4848,12,0.0
f01b7a6c-8d4e-4a7c-89f8-ef79eff4aab5,39.0086591,1.310230843,1874,2490,,2110,2110,157,1,6053,3,18532,8,0.0
3c1b571e-ab30-4c81-832d-51bdfef51bba,38.97033793,1.2855323,591,1325,,888,888,2451,1,18165,4,24252,17,0.0
f8e815fd-fcbe-4607-9ae0-f5fa0d56c8d8,39.00303877,1.418651684,788,1091,,2410,2410,627,1,2795,6,5454,11,0.0
d94433a9-0da0-4fd5-af57-ddfb321fc525,38.98952019,1.305319773,1085,1073,,3218,3218,4858,1,17228,6,23482,12,0.0
f5d03633-ba23-4de9-80ea-e5ae1b82acfa,38.95013868,1.331319864,1224,1224,,1611,1611,220,2,6032,10,21574,20,0.0
d56c4db0-7934-4d78-a43e-f606e2ebe9d2,39.11067597,1.517970918,621,996,,2765,2765,923,1,1334,1,1853,4,0.0
9197581a-d64d-40ee-964b-f6c1822fd28f,38.97918087,1.408158651,979,2209,,4454,4454,276,3,3951,7,11163,20,0.0
